model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
lgbm_leaves7_lr0.02_n350_reg,lightgbm,5,0.083669936526255,0.7744973748484142,0.8920839933390194,0.7340425531914894,0.6831683168316832,0.7931034482758621
lgbm_leaves7_lr0.04_n220_reg,lightgbm,1,0.081999739786625,0.7772662227962934,0.8825977545489742,0.6956521739130435,0.6808510638297872,0.7111111111111111
lgbm_leaves7_lr0.04_n220_reg,lightgbm,2,0.0816462571597866,0.7905203398277313,0.8675446015061818,0.700507614213198,0.6388888888888888,0.7752808988764045
lgbm_leaves7_lr0.04_n220_reg,lightgbm,3,0.08086093914398546,0.8029657024270146,0.9202127659574467,0.7638190954773869,0.7238095238095238,0.8085106382978723
lgbm_leaves7_lr0.04_n220_reg,lightgbm,4,0.08965532467628037,0.7526960590171163,0.8752498913515863,0.6404494382022472,0.57,0.7307692307692307
lgbm_leaves7_lr0.04_n220_reg,lightgbm,5,0.083669936526255,0.7755193866889971,0.8915153730555216,0.7253886010362695,0.660377358490566,0.8045977011494253
lgbm_leaves7_lr0.07_n150_reg,lightgbm,1,0.081999739786625,0.7776975297873645,0.8802555168408828,0.7027027027027027,0.6842105263157895,0.7222222222222222
lgbm_leaves7_lr0.07_n150_reg,lightgbm,2,0.0816462571597866,0.7868797960632214,0.8676855543473883,0.7070707070707071,0.6422018348623854,0.7865168539325843
lgbm_leaves7_lr0.07_n150_reg,lightgbm,3,0.08086093914398546,0.803109931726903,0.916378467784377,0.7589743589743589,0.7326732673267327,0.7872340425531915
lgbm_leaves7_lr0.07_n150_reg,lightgbm,4,0.08965532467628037,0.7433390185276311,0.8755323772272926,0.64,0.5773195876288659,0.717948717948718
lgbm_leaves7_lr0.07_n150_reg,lightgbm,5,0.083669936526255,0.7743149810672407,0.8943178587384754,0.7357512953367875,0.6698113207547169,0.8160919540229885
cat_depth1_lr0.02_n350_reg,catboost,1,0.081999739786625,0.775720585330769,0.8873790166473093,0.6796116504854369,0.603448275862069,0.7777777777777778
cat_depth1_lr0.02_n350_reg,catboost,2,0.0816462571597866,0.8002980162341251,0.8793040956868431,0.6729857819905213,0.5819672131147541,0.797752808988764
cat_depth1_lr0.02_n350_reg,catboost,3,0.08086093914398546,0.7983424325229131,0.911134501165326,0.7465437788018433,0.6585365853658537,0.8617021276595744
cat_depth1_lr0.02_n350_reg,catboost,4,0.08965532467628037,0.7337695489518175,0.8596045197740113,0.6217616580310881,0.5217391304347826,0.7692307692307693
cat_depth1_lr0.02_n350_reg,catboost,5,0.083669936526255,0.7741125024280461,0.9006132975914869,0.711340206185567,0.6448598130841121,0.7931034482758621
cat_depth1_lr0.04_n220_reg,catboost,1,0.081999739786625,0.7777713982752574,0.8909988385598142,0.6730769230769231,0.5932203389830508,0.7777777777777778
cat_depth1_lr0.04_n220_reg,catboost,2,0.0816462571597866,0.8051266159041284,0.8773307559099512,0.6859903381642513,0.6016949152542372,0.797752808988764
cat_depth1_lr0.04_n220_reg,catboost,3,0.08086093914398546,0.8021687111012802,0.9118863243365161,0.7441860465116279,0.6611570247933884,0.851063829787234
