site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
3990,3990,ΙΟΣ,,ΊΟΣ ΠΑΡΑΛΊΑ 10,2023-01-06,2023-01-06,2024-05-29,2024-05-29,high,canonical_high,ok,0.0,0.0,509,0.06916170277415758,0,939,0.6264176117411607,below_top_30_percent
1067,1067,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 2,2020-05-10,2020-05-10,2024-04-21,2024-04-21,high,canonical_high,multiple_regions,0.0,0.0,1442,0.06888710009415118,0,940,0.6270847231487658,below_top_30_percent
3925,3925,ΜΗΛΟΣ - ΑΝΤΙΜΗΛΟΣ - ΠΟΛΥΑΙΓΟΣ,,ΜΉΛΟΣ ΠΑΡΑΛΊΑ 61,2022-12-27,2022-12-27,2024-05-02,2024-05-02,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,0.0,492,0.0681073613471568,0,941,0.627751834556371,below_top_30_percent
2994,2994,ΙΘΑΚΗ,ΠΑΡΑΛΊΑ ΆΝΤΡΙ,ΙΘΆΚΗ ΠΑΡΑΛΊΑ 1,2022-07-04,2022-07-04,2024-07-27,2024-07-27,high,canonical_high,multiple_special_numbers,0.0,80.0,754,0.06790081652370114,0,942,0.628418945963976,below_top_30_percent
1597,1597,ΨΑΡΑ ,,ΨΑΡΆ ΠΑΡΑΛΊΑ 22,2020-12-14,2020-12-14,2025-08-17,2025-08-17,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,1707,0.0678490860560896,0,943,0.6290860573715811,below_top_30_percent
3056,3056,ΙΘΑΚΗ,,ΙΘΆΚΗ ΠΑΡΑΛΊΑ 115,2022-07-08,2022-07-08,2024-07-29,2024-07-29,high,canonical_high,ok,0.0,77.0,752,0.06762488035452272,0,944,0.6297531687791861,below_top_30_percent
528,528,ΝΟΤΙΑ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΑΛΜΗΡΟΎ,ΛΑΚΩΝΊΑ ΠΑΡΑΛΊΑ 58,2019-12-31,2019-12-31,2023-05-01,2023-05-01,high,canonical_high,multiple_regions,0.0205423171733771,20.0,1217,0.06745392585122632,0,945,0.6304202801867912,below_top_30_percent
1438,1438,ΒΟΡΕΙΕΣ ΣΠΟΡΑΔΕΣ (ΚΥΡΑ ΠΑΝΑΓΙΑ - ΨΑΘΟΥΡΑ),,ΚΥΡΆ ΠΑΝΑΓΙΆ ΠΑΡΑΛΊΑ 4,2024-04-02,2024-04-02,2025-09-15,2025-09-15,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,0.0,531,0.06745280456948036,0,946,0.6310873915943963,below_top_30_percent
4828,4828,ΒΟΡΕΙΕΣ ΣΠΟΡΑΔΕΣ (ΚΥΡΑ ΠΑΝΑΓΙΑ - ΨΑΘΟΥΡΑ),,ΚΥΡΆ ΠΑΝΑΓΙΆ ΠΑΡΑΛΊΑ 7,2024-04-02,2024-04-02,2025-09-15,2025-09-15,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,531,0.06745246400367633,0,947,0.6317545030020013,below_top_30_percent
3928,3928,ΜΗΛΟΣ - ΑΝΤΙΜΗΛΟΣ - ΠΟΛΥΑΙΓΟΣ,ΠΑΡΑΛΊΑ ΒΆΝΗ,ΜΉΛΟΣ ΠΑΡΑΛΊΑ 66,2022-12-27,2022-12-27,2024-05-08,2024-05-08,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,498,0.06738964950301862,0,948,0.6324216144096064,below_top_30_percent
